Rank,Ticker,Segment,Avg_Close,Avg_Daily_Return_Pct,Volatility,Avg_Volume,Trading_Days,Risk_Adjusted_Score,Trend
1,BANKBARODA.NS,Bank,190.931,0.126,2.113,20429976.407,1230,0.0596308566019877,Downtrend
2,SBIN.NS,Bank,687.385,0.089,1.558,15163954.352,1230,0.057124518613607185,Downtrend
3,PNB.NS,Bank,78.143,0.125,2.191,44535128.857,1230,0.05705157462345961,Uptrend
4,ICICIBANK.NS,Bank,1064.101,0.068,1.275,14050190.56,1230,0.053333333333333344,Uptrend
5,IDFCFIRSTB.NS,Bank,66.392,0.07,1.988,33319208.504,1227,0.035211267605633804,Uptrend
6,AXISBANK.NS,Bank,1021.531,0.051,1.53,9023239.781,1230,0.03333333333333333,Mixed / Sideways
7,SBILIFE.NS,Insurance,1477.248,0.045,1.442,1230965.598,1230,0.031206657420249653,Downtrend
8,BAJFINANCE.NS,NBFC,764.897,0.047,1.786,10794249.628,1230,0.02631578947368421,Mixed / Sideways
9,BAJAJFINSV.NS,NBFC,1695.057,0.026,1.665,1911880.58,1230,0.015615615615615615,Uptrend
10,KOTAKBANK.NS,Bank,376.606,0.022,1.443,19921301.215,1230,0.015246015246015245,Uptrend
11,INDUSINDBK.NS,Bank,1085.629,0.027,2.137,4457511.114,1230,0.012634534394010294,Uptrend
12,HDFCBANK.NS,Bank,788.125,0.007,1.322,27851059.968,1230,0.00529500756429652,Downtrend
13,ICICIGI.NS,Insurance,1554.423,0.008,1.518,731640.814,1230,0.005270092226613966,Downtrend
14,HDFCLIFE.NS,Insurance,629.171,-0.011,1.559,3755214.372,1230,-0.007055805003207184,Downtrend
15,ICICIPRULI.NS,Insurance,567.07,-0.013,1.683,1604058.692,1230,-0.007724301841948901,Downtrend
